"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
2335,"NCT01692236","Brain Imaging for HIV-Associated Thinking and Mood Disorders",,"Terminated","No Results Available","Human Immunodeficiency Virus|Neurocognitive Impairment",,"Neuropsychologic testing scores|Serum biomarkers of cardiovascular disease and inflammation|MRI brain and vascular findings","National Institutes of Health Clinical Center (CC)|National Institute of Allergy and Infectious Diseases (NIAID)","All","25 Years to 61 Years   (Adult)",,"84","NIH","Observational","Time Perspective: Prospective","120200|12-CC-0200","September 13, 2012",,"April 4, 2018","September 25, 2012",,"December 5, 2019","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01692236"
2336,"NCT00494650","Cognitive Behavioral Treatment for Post-Traumatic Stress Disorder in People With Additional Serious Mental Illnesses",,"Completed","No Results Available","Post-Traumatic Stress Disorder","Behavioral: Cognitive behavioral therapy (CBT)|Behavioral: Brief PTSD treatment","Knowledge of PTSD and effectiveness in correcting faulty, trauma-related beliefs|Depression, anxiety, and other psychiatric symptoms|PTSD diagnoses and symptom severity|Total cost for mental health and substance abuse treatment services utilization within the University Behavioral Health Care system|Quality of life and community functioning","Dartmouth-Hitchcock Medical Center|National Institute of Mental Health (NIMH)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R01MH064662-02|DSIR 83-ATIT","April 2008","July 2012",,"July 2, 2007",,"August 8, 2012","United Behavioral HealthCare (UBHC): Partial Hospital Program, Monmouth Junction, New Jersey, United States|University Behavioral HealthCare (UBHC) Adult Outpatient Psychiatric Services, New Brunswick, New Jersey, United States|University Behavioral HealthCare (UBHC) Extended Treatment, New Brunswick, New Jersey, United States|University Behavioral HealthCare (UBHC) Extended Treatment Division - Adult Outpatient Psychiatric Services, Newark, New Jersey, United States|University Behavioral HealthCare (UBHC) Extended Treatment Division - Partial Hospital Program, Newark, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT00494650"
2337,"NCT00329186","Study Evaluating the Pharmacokinetics of Venlafaxine ER and Desvenlafaxine SR in Healthy Subjects",,"Completed","No Results Available","Healthy","Drug: desvenlafaxine SR|Drug: venlafaxine ER","The primary objective is to determine if the relative difference in PK between EMs and PMs is the same with desvenlafaxine SR and venlafaxine ER when a single dose is administered.","Wyeth is now a wholly owned subsidiary of Pfizer","All","18 Years to 55 Years   (Adult)","Phase 3","14","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","3151A1-901","May 2006","June 2007","June 2007","May 24, 2006",,"February 8, 2013","Wichita, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT00329186"
2338,"NCT03051256","Safety, Tolerability, PK Profile, and Symptom Response of a 7-Day Dosing With 25 mg or 50 mg Daily of REL-1017 in MDD",,"Completed","Has Results","Depressive Disorder, Major|Depressive Disorder, Treatment-Resistant","Drug: REL-1017|Drug: Placebo","Incidence of Treatment Emergent Adverse Events (AEs) [Safety and Tolerability]|ECG Parameters [Safety]|Columbia Suicide Severity Rating Scale (C-SSRS) [Safety and Tolerability]|Montgomery-Asberg Depression Scale (MADRS)|Symptoms of Depression Questionnaire (SDQ)|Clinical Global Impressions of Severity (CGI-S)|Clinical Global Impressions of Improvement (CGI-I)|Maximum Observed Plasma Concentration (Cmax) [Pharmacokinetic]|Area Under the Plasma Concentration-time Curve From Time Zero Until the Dosing Interval of 24 Hours (AUCtau) [Pharmacokinetic]|Time to Maximum Observed Plasma Concentration (Tmax) [Pharmacokinetic]|Area Under the Plasma Concentration-time Curve From Time Zero to Infinity (AUC0-inf) [Pharmacokinetic]|Apparent Terminal Elimination Half-life (t½) [Pharmacokinetic]","Relmada Therapeutics, Inc.|Syneos Health","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","62","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","REL-1017-202","May 11, 2018","July 30, 2019","September 30, 2019","February 13, 2017","March 17, 2021","March 17, 2021","Woodland International Research Group, Little Rock, Arkansas, United States|Collaborative Neuroscience Network, LLC, Garden Grove, California, United States|Artemis Institute for Clinical Research, San Diego, California, United States|Innovative Clinical Research, Inc, Hialeah, Florida, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|iResearch Atlanta, LLC, Decatur, Georgia, United States|St. Louis Clinical Trials, LLC, Saint Louis, Missouri, United States|Hassman Research Institute, Berlin, New Jersey, United States|Midwest Clinical Research Center, Dayton, Ohio, United States|Pillar Clinical Research, LLC, Richardson, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/56/NCT03051256/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03051256"
2339,"NCT00337012","The Effect of Duloxetine on Interoceptive Awareness",,"Unknown status","No Results Available","Depressive Disorder",,,"University Hospital, Bonn|Eli Lilly and Company","All","21 Years to 65 Years   (Adult, Older Adult)",,"36","Other|Industry","Observational","Time Perspective: Prospective","2006-001079-39","July 2007",,,"June 15, 2006",,"December 1, 2008","University Clinic Bonn, Bonn, NRW, Germany",,"https://ClinicalTrials.gov/show/NCT00337012"
2340,"NCT04347668","Can Virtual Reality Reduce Depression and Agitation in Older Adults With Moderate to Severe Dementia?",,"Unknown status","No Results Available","Moderate Dementia|Severe Dementia","Other: Virtual Reality|Other: Usual Care","Cornell Scale for Depression|The Cohen Mansfield Agitation Inventory|Percentage Sleep|Psychotropic medication|Weight|1 to 1 staff|Transfers to the emergency department (ED)","Western University, Canada","All","65 Years to 110 Years   (Older Adult)","Not Applicable","266","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRO 0032743","April 1, 2019","May 1, 2020","September 27, 2020","April 15, 2020",,"April 15, 2020","Burton Manor, Brampton, Ontario, Canada|Henley Place, London, Ontario, Canada|Henley House, St. Catherines, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04347668"
2341,"NCT04790630","Cognitive Fitness for Depression in Older Adults",,"Recruiting","No Results Available","Depression Mild|Depressive Disorder, Major|Mild Cognitive Impairment","Other: Computerized Cognitive Remediation of Executive Functioning (CCR-EF)|Other: Active Control","Change in attention / cognitive flexibility as measured by the Trail Making Part B test|Change in depression symptom severity as measured with the Montgomery Asberg Depression Rating Scale (MADRS)|Change in verbal learning as measured with the California Verbal Learning Test (CVLT) Total Learning|Change in attention processing speed as measured with the Flanker Test of Response Inhibition from the NIH Cognitive Toolbox|Change in self-reported depressive symptoms measured with the Carroll Depression Rating Scale|Change in problem solving/speed/spatial memory as measured with the NIH Toolbox fluid composite scales","UConn Health|National Institute of Mental Health (NIMH)","All","60 Years and older   (Adult, Older Adult)","Not Applicable","138","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","21-046-2|1K23MH118420-01A1","November 15, 2020","July 31, 2024","July 31, 2024","March 10, 2021",,"July 13, 2021","UConn Health, Farmington, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04790630"
2342,"NCT02358343","A Trial of Sertraline vs. CBT for End-stage Renal Disease Patients With Depression {ASCEND}","ASCEND","Completed","Has Results","Depression|End Stage Renal Disease","Behavioral: Engagement Interview|Behavioral: Cognitive Behavioral Therapy|Drug: Antidepressant Drug Therapy","Number of Participants Who Initiated Depression Treatment|QIDS-C Score|Number of Participants Who Accepted Depression Treatment|BDI-II|GAD-7|Sheehan Disability Scale|SF-36 Energy/Vitality|Global Quality of Life Scale|Satisfaction With Life Scale|Perceived Social Support|PSQI|Exercise|Percentage of Dialysis Treatment Sessions Skipped and/or Shortened|Percent Inter-dialytic Weight Gain|Serum Phosphorus Level","University of Washington|University of Texas|University of New Mexico|Patient-Centered Outcomes Research Institute","All","21 Years and older   (Adult, Older Adult)","Phase 3","184","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","48647","March 23, 2015","November 15, 2017","December 15, 2017","February 6, 2015","July 23, 2019","July 23, 2019","University of New Mexico, Albuquerque, New Mexico, United States|University of Texas Southwestern, Dallas, Texas, United States|University of Washington, Seattle, Washington, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/43/NCT02358343/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02358343"
2343,"NCT01902004","Brain Aging and Treatment Response in Geriatric Depression",,"Completed","Has Results","Mild Cognitive Impairment (MCI)|Depression","Drug: Escitalopram|Drug: Memantine|Drug: Placebo","Change in Hamilton Depression Rating Scale|Change in Montgomery Asberg Depression Rating Scale|Change in Cognitive Domain Scores","University of California, Los Angeles|National Institute of Mental Health (NIMH)","All","60 Years and older   (Adult, Older Adult)","Phase 4","115","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R-01 MH097892|R01MH097892","October 2013","January 23, 2019","January 23, 2019","July 17, 2013","October 15, 2019","October 15, 2019","UCLA Semel Institute - Neuropsychiatric Institute (NPI), Los Angeles, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/04/NCT01902004/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01902004"
2344,"NCT03993457","Promoting Enhanced Pharmacotherapy Choice Through Immunomarkers Evaluation in Depression","PRECISE-D","Active, not recruiting","No Results Available","Depression","Drug: Escitalopram|Drug: Bupropion","Efficacy of CRP-consistent antidepressant selection versus CRP-inconsistent antidepressant selection on remission rates in patients with MDD.|Efficacy of CRP-consistent antidepressant selection versus CRP-inconsistent antidepressant selection on improving social and occupational functioning.|Adverse antidepressant treatment effects on CRP-consistent antidepressant selection versus CRP-inconsistent antidepressant selection|Optional Sub-study. Validity and reliability of capillary blood CRP measurement","University of Texas Southwestern Medical Center","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STU-2019-0623","July 23, 2019","June 1, 2023","June 1, 2023","June 20, 2019",,"July 6, 2021","University of Texas Southwestern Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03993457"
2345,"NCT00602290","Effectiveness of Methylphenidate in Improving Cognition and Function in Older Adults With Depression",,"Completed","Has Results","Depression","Drug: Citalopram|Drug: Methylphenidate (MPH)|Drug: Placebo","Hamilton Depression Rating Scale (HDRS) Maintained Scores at Week 16|Quality of Life Assessment","University of California, Los Angeles|National Institute of Mental Health (NIMH)","All","60 Years and older   (Adult, Older Adult)","Phase 4","181","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R01MH077650|DATR A4-GPX","February 2008","January 2013","February 2013","January 28, 2008","September 1, 2014","January 11, 2018","UCLA Semel Institute - Neuropsychiatric Institute (NPI), Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT00602290"
2346,"NCT01944293","Ketamine for Suicidality in Bipolar Depression",,"Completed","Has Results","Bipolar Disorder|Major Depressive Episode|Suicidal Ideation","Drug: Ketamine|Drug: Midazolam","Change in Suicidal Ideation Measured With the Beck Scale for Suicidal Ideation|Change in Systolic Blood Pressure","New York State Psychiatric Institute|Brain & Behavior Research Foundation","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","16","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","#6785","September 2013","September 2017","October 2018","September 17, 2013","June 6, 2019","March 11, 2020","Columbia University/New York State Psychiatric Institute, New York, New York, United States","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT01944293/SAP_001.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT01944293/Prot_002.pdf","https://ClinicalTrials.gov/show/NCT01944293"
2347,"NCT02994433","NMDA Receptor Antagonist Nitrous Oxide Targets Affective Brain Circuits",,"Terminated","No Results Available","Depressive Disorder, Major|Depressive Disorder, Treatment-Resistant","Drug: Nitrous Oxide|Drug: Placebo gas|Device: MRI","Comparison of functional connectivity between default mode network of treatment-resistant depressed and non-depressed participants|Comparison of functional connectivity between affective network of treatment-resistant depressed and non-depressed participants|Comparison of functional connectivity between cognitive control network of treatment-resistant depressed and non-depressed participants|Comparison of functional connectivity between dorsal nexus of treatment-resistant depressed and non-depressed participants","Washington University School of Medicine","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","49","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","201606120","January 27, 2017","February 28, 2020","February 28, 2020","December 15, 2016",,"August 2, 2021","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02994433"
2348,"NCT02043197","Fevarin® Effectiveness in Treatment of Depression in Patients With Neurological Disorder","FRIENDS","Completed","Has Results","Depression",,"Prevalence of Different Neurological Disorders Associated With Depression Treated With Fluvoxamine (Fevarin®).|Change in the Hospital Anxiety and Depression Scale (HADS) Depression Subscale Score|Percent of Patients With Change of Depression Symptoms From Baseline to Day 30|Change in the Hospital Anxiety and Depression Scale (HADS) Anxiety Subscale Score|Change in the Clinical Condition Measured by Clinical Global Impression Scale - Severity of Illness Subscale|Percent of Patients With Change in Clinical Global Impression Scale|Anxiety and Depression Symptoms Score Measured by Hospital Anxiety and Depression Scale (HADS)|Percent of Patients With Change of Anxiety Symptoms From Baseline to Day 30.|Gender|Race|Family Status|Education|Employment","Abbott|Manipal Acunova Ltd.","All","18 Years and older   (Adult, Older Adult)",,"300","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","P14-326","January 2014","November 2015","November 2015","January 23, 2014","December 17, 2018","December 17, 2018","Research Facility ID ORG-000890, Chelyabinsk, Russian Federation|Research facilility ID ORG-000872, Ekaterinburg, Russian Federation|Research facility ID ORG-000881, Krasnoyarsk, Russian Federation|Research facility ID ORG-000893, Moscow, Russian Federation|Research facility ID ORG-000882, Moscow, Russian Federation|Research facility ID ORG-000876, Moscow, Russian Federation|Research facility ID ORG-000877, Moscow, Russian Federation|Research Facility ID ORG-000889, Nizhny Novgorod, Russian Federation|Research facility ID ORG-000880, Novosibirsk, Russian Federation|Research Facility ID ORG-000879, Penza, Russian Federation|Research facility ID ORG-000891, Perm, Russian Federation|Research facility ID ORG-000840, Perm, Russian Federation|Research facility ID ORG-000803, Rostov-on-Don, Russian Federation|Research facility ID ORG-000898, Rostov-on-Don, Russian Federation|Research facility ID ORG-001028, Rostov-on-Don, Russian Federation|Research facility ID ORG-001027, Rostov-on-Don, Russian Federation|Research facility ID ORG-000894, Rostov-on-Don, Russian Federation|Research facility ID ORG-000897, Samara, Russian Federation|Research facility ID ORG-000839, Saratov, Russian Federation|Research Facility ID ORG-000873, Spassk-Dal'niy, Russian Federation|Research facility ID ORG-000896, St. Petersburg, Russian Federation|Research facility ID ORG-000892, St. Petersburg, Russian Federation|Research facility ID ORG-000965, St. Petersburg, Russian Federation|Research Facility ID ORG-000878, Tver, Russian Federation|Research facility ID ORG-001026, Vladivostok, Russian Federation|Research Facility ID ORG-000874, Volgograd, Russian Federation|Research Facility ID ORG-000888, Volgograd, Russian Federation|Research Facility ID ORG-000895, Voronezh, Russian Federation|Research facility ID ORG-000875, Yessentuki, Russian Federation",,"https://ClinicalTrials.gov/show/NCT02043197"
2349,"NCT04870255","Treatment of Acute Mood Depressive Episode in Borderline Personality Disorder With rTMS",,"Not yet recruiting","No Results Available","Depressive Disorder, Major|Borderline Personality Disorder","Device: Left Dorsolateral Prefrontal Cortex (L-DLPFC)|Device: Dorsomedial Prefrontal Cortex (DMPFC)|Device: Sham Stimulation","Change in the clinician rated Montgomery-Asberg Depression Rating Scale (MADRS-C) in active vs. sham participants.|Change in Borderline Symptoms List-23 (BSL-23) in active vs. sham participants.","Stanford University","All","22 Years to 65 Years   (Adult, Older Adult)","Not Applicable","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","58950","June 2021","June 2023","June 2024","May 3, 2021",,"May 3, 2021","Stanford Hospital, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04870255"
2350,"NCT00044681","A Study of the Effectiveness and Safety of Risperidone to Augment SSRI Therapy in Patients With Treatment-resistant Depression",,"Completed","No Results Available","Depressive Disorder|Depressive Disorder, Major|Depression","Drug: risperidone","Change from baseline in Montgomery-Asberg Depression Rating Scale (MADRS) total score at end of treatment; time to relapse|Response rate, determined from >=50% improvement from baseline at MADRS total score; change from baseline in Hamilton Rating Scale of Depression (HAM-D) and Clinical Global Impression (CGI) scale; incidence of adverse events throughout study.","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.|Janssen, LP","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 3","258","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CR002143","October 2002",,"March 2004","September 5, 2002",,"May 18, 2011",,,"https://ClinicalTrials.gov/show/NCT00044681"
2351,"NCT00770068","Examining the Link Between Depression and Seasonal Allergies",,"Completed","No Results Available","Depression",,"Hamilton Rating Scale for Depression-Seasonal Affective Disorder Version (SIGH-SAD)|Hypomania Interview Guide (HIGH-SAD)|Burns Anxiety Inventory|Buss Aggression Questionnaire|Allergy Symptom Severity Assessment (ASSA) Questionnaire|Serum cytokine, tryptophan (TRP), and kynurenine (KYN) concentrations|Nasal secretion test|Sleep logs|Actiwatch|Beck Depression Inventory II (BDI-II)|Pittsburgh Sleep Quality Index (PSQI)","University of Maryland, Baltimore|National Institute of Mental Health (NIMH)","All","18 Years to 64 Years   (Adult)",,"100","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","R21MH075891|H26191|DATR A2-AID","July 15, 2006","April 11, 2017","April 11, 2017","October 9, 2008",,"November 21, 2019","National Center for the Treatment of Phobias, Anxiety, and Depression, Washington, District of Columbia, United States|University of Maryland, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00770068"
2352,"NCT01407575","Buprenorphine for Treatment Resistant Depression","BUP-TRD","Completed","Has Results","Depression|Depressive Disorder|Depressive Disorder, Major","Drug: Buprenorphine|Drug: Placebo","Montgomery Asberg Depression Rating Scale|Blood Pressure|UKU Side Effect Rating Scale|Heart Rate|Weight|Brief Symptom Inventory -- Anxiety Subscale|Positive and Negative Affect Scale","University of Pittsburgh|National Alliance for Research on Schizophrenia and Depression","All","21 Years and older   (Adult, Older Adult)","Phase 3","13","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BUP-TRD","September 2011","August 2013","August 2013","August 2, 2011","March 17, 2016","March 9, 2018","Western Psychiatric Institute and Clinic, University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01407575"
2353,"NCT00742365","Predicting Effectiveness of Light Treatment for Winter Seasonal Affective Disorder",,"Completed","No Results Available","Depression","Device: Bright light|Device: Red light placebo","Hamilton rating scale for depressional seasonal affective disorder (SIGH SAD)|Hunger questionnaire|Three factor eating questionnaire|Sleep log|Food craving questionnaire|Side effects questionnaire|Adherence questionnaire|Profile of Mood States|Beck Depression Inventory-II (BDI)","University of Maryland, Baltimore|National Institute of Mental Health (NIMH)","All","18 Years to 64 Years   (Adult)",,"41","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","HP-00043574|R34MH073797|DSIR 83-ATSO|H-28845","November 2007","April 2010","August 2010","August 27, 2008",,"November 21, 2019",,,"https://ClinicalTrials.gov/show/NCT00742365"
2354,"NCT03190772","The Role of Expectations in the Pharmacological Treatment of Depression - An Experimental Investigation",,"Completed","No Results Available","Major Depressive Episode","Other: Placebo nasal spray|Other: Film sequence","Sadness","Philipps University Marburg Medical Center","Female","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","94","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science","2017-12k","November 1, 2017","September 30, 2018","September 30, 2018","June 19, 2017",,"November 7, 2018","Justus Liebig University Gießen, Gießen, Hessen, Germany|Philipps University Marburg, Marburg, Hessen, Germany",,"https://ClinicalTrials.gov/show/NCT03190772"
2355,"NCT00606996","Group Therapy for Women Prisoners With Comorbid Substance Use and Depression",,"Completed","No Results Available","Substance Abuse|Substance Dependence|Depressive Disorder","Behavioral: Group interpersonal psychotherapy (IPT-G)|Behavioral: Psychoeducation on co-occurring disorders (PSYCHOED)","Substance-free days after release from prison, measured by the Timeline Followback method|Severity of substance use after release from prison, measured by the Addiction Severity Index|Verification of substance-free status using breath alcohol tests and urine drug screens|Depression symptom severity measured by the Modified Hamilton Rating Scale for Depression|Depression symptom severity measured by the Beck Depression Inventory|Severity of legal problems after release, measured by the Legal Composite of the Addiction Severity Index|Interpersonal problems, measured by the Inventory of Interpersonal Problems|Peer support and social support, measured by the Criminal Justice client Evaluation of Self and Treatment|Perceived social support measured by the Multidimensional Scale of Perceived Social Support|Social support for recovery, measured by the Important People and Activities scale|Social functioning, measured by the Social Adjustment Scale","Brown University","Female","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","38","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1K23DA021159-01","July 2006","December 2009","December 2009","February 5, 2008",,"April 18, 2013","Adult Correctional Institution, Cranston, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT00606996"
2356,"NCT01880593","Ketamine Plus Lithium in Treatment-Resistant Depression",,"Completed","Has Results","Depression","Drug: Lithium|Drug: Ketamine|Drug: Placebo","MADRS-S Score|QIDS-SR Score|CGI-S Score|HAM-A Score|BSS Score|CSSRS Score|Patient Rated Inventory of Side Effects (PRISE)","Icahn School of Medicine at Mount Sinai","All","21 Years to 65 Years   (Adult, Older Adult)","Phase 2","34","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","GCO 13-0365","July 2013","November 2016","November 2016","June 19, 2013","July 31, 2018","July 31, 2018","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01880593"
2357,"NCT00669526","Clinical and Cost Effectiveness of Brief Cognitive-Behavioral Therapy (CBT) for Pediatric Internalizing Disorders",,"Completed","No Results Available","Depression|Anxiety","Behavioral: BCBT|Behavioral: SMHC referral","Clinician Global Impressions - Improvement (CGI-I)","Robert Wood Johnson Foundation|National Institute of Mental Health (NIMH)|William T. Grant Foundation","All","7 Years to 17 Years   (Child)","Phase 2","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","051653","October 2004","March 2007","April 2007","April 30, 2008",,"April 30, 2008","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00669526"
2358,"NCT04099771","Ketamine for Mood Disorders With Suicidal Ideation",,"Recruiting","No Results Available","Depressive Disorder, Major|Suicidal Ideation","Drug: Ketamine","Number and Rate of Participants Recruited into the Study throughout study period|Completion of total infusion of ketamine by participants|Percentage of participants and providers with positive response to ketamine administration|Reduction of SI in mood disorders by ketamine","The Miriam Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Early Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1348833","July 1, 2019","December 31, 2021","December 31, 2021","September 23, 2019",,"March 2, 2021","The Miriam Hospital, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT04099771"
2359,"NCT01620502","N-3 Polyunsaturated Fatty Acids in the Prevention and Treatment for IFN-induced Depression",,"Completed","No Results Available","Major Depressive Episode","Dietary Supplement: Omega-3 fatty acids","Percentage of Participants with major depressive episode (for Study 1); Changes in Hamilton Depression Rating Scale (HDRS) (for Study 2)|Changes in Hamilton Depression Rating Scale (HDRS) (for Study 1); Response and remission rates (for Study 2)","National Science Council, Taiwan","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","230","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","NSC98-2628-B-039-020-MY3","July 2009","June 2012","September 2012","June 15, 2012",,"October 29, 2013","China Medical University Hospital, Taichung, Taiwan",,"https://ClinicalTrials.gov/show/NCT01620502"
2360,"NCT01386086","Aripiprazole and Resistant Postpartum Depression",,"Completed","No Results Available","Postpartum Depression","Drug: aripiprazole","Montgomery Asberg Depression Rating Scale|Udvalg for Kliniske Undersogelser Scale","Lawson Health Research Institute|Bristol-Myers Squibb","Female","18 Years to 45 Years   (Adult)","Phase 3","10","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CN138-623","June 2011","November 2013","November 2013","June 30, 2011",,"March 17, 2016","Regional Mental Health Care, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT01386086"
2361,"NCT03857581","Clozapine Versus Olanzapine as Treatment for Comorbid Psychotic Disorder and Substance Use Disorder",,"Not yet recruiting","No Results Available","Psychosis|Substance Use Disorders","Drug: Clozapine|Drug: Olanzapine","Frequencies of positive urine drug screens and breathalyzer alcohol levels|All-cause treatment discontinuation|Brief Psychiatric Rating Scale (BPRS) - Positive Psychopathology items","Augusta University","All","18 Years to 60 Years   (Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1303985","July 2020","July 2021","July 2021","February 28, 2019",,"March 23, 2020","Sandarsh Surya, Evans, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT03857581"
